date,Regime_1,Regime_2,Most_Likely
1995-03-31,0.9999925584820543,7.441517947241033e-06,0
1995-04-30,0.9997596119551295,0.0002403880448705139,0
1995-05-31,0.998387176395512,0.0016128236044876253,0
1995-06-30,0.9984544753502143,0.0015455246497863223,0
1995-07-31,0.9996568980610425,0.00034310193895826586,0
1995-08-31,0.9987408109625822,0.0012591890374188976,0
1995-09-30,0.9982952461672224,0.0017047538327768159,0
1995-10-31,0.9970549821002057,0.0029450178997938153,0
1995-11-30,0.9998704150402362,0.00012958495976454786,0
1995-12-31,0.9753962626427185,0.02460373735728237,0
1996-01-31,0.027775591418518344,0.9722244085814805,1
1996-02-29,0.9961227832551599,0.0038772167448408662,0
1996-03-31,0.9975909204590447,0.0024090795409567353,0
1996-04-30,0.9995680066076353,0.0004319933923643672,0
1996-05-31,0.9999832831931768,1.6716806824132306e-05,0
1996-06-30,0.9968083297670504,0.0031916702329505553,0
1996-07-31,0.9832646732426036,0.01673532675739507,0
1996-08-31,0.9988629225170896,0.0011370774829115964,0
1996-09-30,0.994385137314908,0.005614862685091888,0
1996-10-31,0.9999872318595208,1.2768140477572256e-05,0
1996-11-30,0.9998235531000584,0.0001764468999402034,0
1996-12-31,0.999938489772057,6.151022794315116e-05,0
1997-01-31,0.9999979526354392,2.0473645594271815e-06,0
1997-02-28,0.9999966136735305,3.386326469499428e-06,0
1997-03-31,0.10306609798400487,0.8969339020159958,1
1997-04-30,0.9999622185881403,3.778141186139387e-05,0
1997-05-31,0.989178155893297,0.010821844106703117,0
1997-06-30,0.9985907834417762,0.0014092165582221014,0
1997-07-31,0.9999085497725476,9.145022745183284e-05,0
1997-08-31,0.9941294567948891,0.0058705432051094405,0
1997-09-30,0.9999575802422234,4.2419757777320874e-05,0
1997-10-31,0.9984168931450925,0.001583106854908131,0
1997-11-30,0.9988319830638374,0.001168016936163712,0
1997-12-31,0.9999987195421474,1.2804578522593001e-06,0
1998-01-31,0.9982802813404705,0.0017197186595287702,0
1998-02-28,0.9965447656862721,0.0034552343137290676,0
1998-03-31,0.9982693703990752,0.0017306296009250305,0
1998-04-30,0.9999376285253017,6.237147469989753e-05,0
1998-05-31,0.9994202682849794,0.0005797317150220535,0
1998-06-30,0.9992683988151505,0.0007316011848512347,0
1998-07-31,0.9999166357276326,8.336427236884442e-05,0
1998-08-31,0.9999483699986299,5.1630001368797984e-05,0
1998-09-30,0.9999999865280175,1.3471984190788837e-08,0
1998-10-31,0.9928244556637615,0.00717554433623782,0
1998-11-30,0.9993350358346076,0.0006649641653919265,0
1998-12-31,0.9998951290808741,0.00010487091912547671,0
1999-01-31,0.9999999941577116,5.842288255688117e-09,0
1999-02-28,0.03625238930447948,0.9637476106955196,1
1999-03-31,0.9999959185157915,4.081484209235011e-06,0
1999-04-30,0.9996302122886014,0.00036978771139733026,0
1999-05-31,0.9995963031692923,0.00040369683070646346,0
1999-06-30,0.9999999998374989,1.6250107664801232e-10,0
1999-07-31,0.9999957727371329,4.227262868568074e-06,0
1999-08-31,0.9999683612021254,3.1638797876069655e-05,0
1999-09-30,0.9992865276979722,0.000713472302026204,0
1999-10-31,0.9999832630603385,1.6736939661629127e-05,0
1999-11-30,0.9999999980338927,1.9661055359253765e-09,0
1999-12-31,0.9999999754077432,2.459225794455902e-08,0
2000-01-31,7.080125748595116e-06,0.9999929198742483,1
2000-02-29,1.0,8.462213983795753e-22,0
2000-03-31,1.0,1.830055285960045e-53,0
2000-04-30,1.0,6.283079149918304e-16,0
2000-05-31,0.9999955539215686,4.446078432290973e-06,0
2000-06-30,0.9999999999999645,3.4560511920039515e-14,0
2000-07-31,0.9985782243455695,0.0014217756544316659,0
2000-08-31,0.999999954618546,4.5381455206735574e-08,0
2000-09-30,0.9999999030000357,9.699996378961074e-08,0
2000-10-31,0.9999368787348472,6.312126515326246e-05,0
2000-11-30,0.9989830166419991,0.0010169833580014646,0
2000-12-31,1.0,2.3317351454238826e-16,0
2001-01-31,0.9999999999906706,9.329098719950658e-12,0
2001-02-28,0.000652026299272922,0.9993479737007255,1
2001-03-31,0.03613763192652268,0.9638623680734748,1
2001-04-30,0.9999942504496333,5.749550368410946e-06,0
2001-05-31,0.9999997780414522,2.2195854845621045e-07,0
2001-06-30,0.9975787709961099,0.0024212290038896837,0
2001-07-31,0.9466873531453867,0.05331264685461464,0
2001-08-31,0.9993830061523563,0.0006169938476429431,0
2001-09-30,4.3331532998550294e-07,0.999999566684673,1
2001-10-31,0.9997979846059885,0.00020201539401177787,0
2001-11-30,0.005084095436352478,0.9949159045636479,1
2001-12-31,0.9867346306946355,0.013265369305368016,0
2002-01-31,0.9907124207669048,0.009287579233093554,0
2002-02-28,0.891707300831259,0.10829269916874167,0
2002-03-31,0.9906828737159149,0.00931712628408503,0
2002-04-30,0.30990327982732635,0.6900967201726727,1
2002-05-31,0.9996580966664946,0.00034190333350402405,0
2002-06-30,0.9916131188099895,0.008386881190009306,0
2002-07-31,0.05874023583478669,0.9412597641652121,1
2002-08-31,0.9996055916914779,0.00039440830852297026,0
2002-09-30,0.0013637030962328175,0.9986362969037655,1
2002-10-31,0.012417658407858911,0.9875823415921402,1
2002-11-30,2.1838840073603617e-07,0.9999997816116019,1
2002-12-31,0.001424976297334162,0.9985750237026668,1
2003-01-31,0.9991113589550941,0.0008886410449074082,0
2003-02-28,0.9999847327832169,1.5267216784462578e-05,0
2003-03-31,0.9880143609570013,0.011985639042997464,0
2003-04-30,2.5083309581871603e-05,0.9999749166904182,1
2003-05-31,0.9957637965138226,0.004236203486177812,0
